account_id,city,state,bfpo_no,postcode,country,total_gifts_amount,last_gift_date,gifts_past_18m
001PY00000fbbo9YAA,Endicott,NY,,,United States,14697.72,2025-09-15,88.0
001PY00000fbboLYAQ,Portland,ME,,,United States,35000.0,2021-03-25,0.0
001PY00000fbborYAA,New York,NY,,,United States,47856.17,2025-06-16,1.0
001PY00000fbboxYAA,New York,NY,,,United States,500.0,2024-01-18,0.0
001PY00000fbbuGYAQ,New York,NY,,,United States,100.0,2025-05-30,1.0
001PY00000fbbuKYAQ,New York,NY,,,United States,4800.0,2025-02-24,2.0
001PY00000fbbuMYAQ,New York,NY,,,United States,35000.0,2021-12-27,0.0
001PY00000fbbuNYAQ,New York,NY,,,United States,4000.0,2024-11-06,1.0
001PY00000fbbuYYAQ,San Francisco,CA,,,United States,36550.0,2024-09-23,1.0
001PY00000fbbuhYAA,Garrison,NY,,,United States,1350.0,2023-06-06,0.0
001PY00000fbbuxYAA,Chelsea,NY,,,United States,675.0,2023-12-28,0.0
001PY00000fbbv0YAA,Hudson,OH,,,United States,4229.76,2024-03-29,0.0
001PY00000fbbvDYAQ,New York,NY,,,United States,112000.0,2025-03-10,1.0
001PY00000fbbvbYAA,New York,NY,,,United States,325.01,2020-01-10,0.0
001PY00000fbbvgYAA,Rhinebeck,NY,,,United States,2750.0,2023-06-22,0.0
001PY00000fbbvhYAA,Beacon,NY,,,United States,1500.0,2025-04-07,2.0
001PY00000fbbvlYAA,New York,NY,,,United States,2500.0,2024-12-05,1.0
001PY00000fbbvnYAA,New York,NY,,,United States,660.0,2024-12-31,1.0
001PY00000fbbvvYAA,Millbrook,NY,,,United States,70000.0,2025-08-29,2.0
001PY00000fbbwlYAA,New York,NY,,,United States,852424.8,2025-06-18,2.0
001PY00000fbbwoYAA,New York,NY,,,United States,150104.0,2025-01-30,1.0
001PY00000fbc0KYAQ,New York,NY,,,United States,1061150.0,2023-12-29,0.0
001PY00000fbc0TYAQ,New Rochelle,NY,,,United States,14500.0,2024-12-16,1.0
001PY00000fbc0xYAA,New York,NY,,,United States,170445.0,2025-09-30,38.0
001PY00000fbc1NYAQ,New York,NY,,,United States,577889.18,2025-01-23,1.0
001PY00000fbc25YAA,Fairfield,CT,,,United States,551000.0,2022-12-23,0.0
001PY00000fbc2UYAQ,Ossining,NY,,,United States,181500.0,2025-09-15,2.0
001PY00000fbc6gYAA,Princeton,NJ,,,United States,530.0,2024-03-07,0.0
001PY00000fbc6kYAA,New York,NY,,,United States,56550.0,2024-06-07,1.0
001PY00000fbc6pYAA,Yonkers,NY,,,United States,21020.0,2021-08-11,0.0
001PY00000fbc6tYAA,Wilmington,DE,,,United States,81000.0,2024-10-28,2.0
001PY00000fbc71YAA,San Francisco,CA,,,United States,1763.65,2025-09-30,40.0
001PY00000fbc78YAA,New York,NY,,,United States,63700.0,2025-03-04,3.0
001PY00000fbc7FYAQ,Princeton,NJ,,,United States,7620.04,2022-08-15,0.0
001PY00000fbc7KYAQ,Long Island City,NY,,,United States,13500.0,2024-12-27,1.0
001PY00000fbc9CYAQ,Nyack,NY,,,United States,351800.0,2025-01-07,3.0
001PY00000fbc9FYAQ,Boston,MA,,,United States,81400.0,2024-12-12,1.0
001PY00000fbcFKYAY,Chicago,IL,,,United States,225.0,2024-02-22,0.0
001PY00000fbcFeYAI,Princeton,NJ,,,United States,2098.5,2025-07-01,1.0
001PY00000fbcGBYAY,Peekskill,NY,,,United States,1865.0,2024-05-14,1.0
001PY00000fbcMsYAI,Andover,MA,,,United States,1100.0,2023-12-23,0.0
001PY00000fbcO1YAI,New York,NY,,,United States,100000.0,2024-11-14,1.0
001PY00000fbcVEYAY,Princeton,NJ,,,United States,962.0,2025-02-18,2.0
001PY00000fbcVzYAI,Fort Collins,CO,,,United States,1634.0,2024-07-13,1.0
001PY00000fbcWhYAI,New York,NY,,,United States,1986.26,2023-10-13,0.0
001PY00000fbcWtYAI,Andover,MA,,,United States,10054.9,2025-04-01,2.0
001PY00000fbcWyYAI,New City,NY,,,United States,875.0,2025-01-16,1.0
001PY00000fbcX4YAI,New York,NY,,,United States,33000.0,2024-12-05,1.0
001PY00000fbcX5YAI,Princeton,NJ,,,United States,700.0,2023-05-05,0.0
001PY00000fbcX6YAI,New York,NY,,,United States,5500.0,2020-12-28,0.0
001PY00000fbcX7YAI,Arlington,MA,,,United States,102500.0,2021-11-04,0.0
001PY00000fbcX9YAI,Sheffield,MA,,,United States,8100.0,2024-05-14,1.0
001PY00000fbcXYYAY,Princeton,NJ,,,United States,11299.0,2025-09-30,13.0
001PY00000fbcXZYAY,New York,NY,,,United States,10000.0,2021-11-22,0.0
001PY00000fbcXaYAI,New York,NY,,,United States,200.0,2020-12-22,0.0
001PY00000fbcasYAA,Ossining,NY,,,United States,1550.0,2024-05-06,1.0
001PY00000fbcaxYAA,Houston,TX,,,United States,3500.0,2025-01-13,1.0
001PY00000fbcb4YAA,Washington,DC,,,United States,3026.79,2024-02-28,0.0
